,Tweet,Location,year,month,day
0,اللي بينا مايتقدر   عمرو_دياب فودافون httpstcoSWkZjCDjqu,"Cairo, Egypt",2022,4,4
1,ما بعد فوق قمة الاستهتار والاهمال واللا مبالاة فودافون httpstcosBwO310jaI,Egypt,2022,4,4
2,عاجل فضيحة فودافون تتسبب في أزمة بعد تسريب_بيانات أحدى العميلات خلال حملة_إعلانية لمزيد من التفاصيل httpstco3l6Z1Xuxi7 مصر_تايمز masrtimes httpstcoPZWSBCwZCB,dokki,2022,4,4
3,10700 وحدة    3270105200846858  فودافون,مصر,2022,4,3
4,فودافون   8584575262021929698  250 وحده  8583902137751105496  1000 وحده   8582248808294974  1105 وحده  8582437043517375  2200 وحده  8585130210270925  1775 وحده,مصر,2022,4,3
5,٢ مليون مشاهده عاليوتيوب ف ٢٤ ساعه لغنوتنا اللي_بينا_حياه عمرو_دياب فودافون رمضان2022  عزيز_الشافعي azizelshafei2022  azizelshafei amrdiab vodafone VodafoneEgypt amrdiab   httpstcoVdq02Cb8mG httpstcovoaPgZFOfI,Egypt,2022,4,3
6,اعلان فودافون جامد عمرو دياب  ايه الجمال ده القطه httpstcoKCERxJldmD,"Cairo, Egypt",2022,4,3
7,تصدقوا اعلان فودافون ده يضايق فعلا,"Cairo, Egypt",2022,4,3
8,سرقة الانترنت بقت حاجة مقرفة في مصر ومافيش حد يحاسبهم ولا يراقب عليهم حتى بالذات النصابين بتوع فودافون,Egypt,2022,4,3
9,دى المره المليون اكتشف سرقات فودافون على الخطوط بتاعتى و يا ريت الشبكه قويه الا الاتصال زى الزفت و كل مكالمه يتقطع مرتين و النت بيحمل التويته ف ربع ساعه  هما فى Vodafone العالميه عندهم علم بالتدهور فى  vodafone_eg ده و الا هما مشيوا خلاص و سابوهالكم,Egypt,2022,4,3
10,بالنسبه لاعلان فودافون السنادي تمام قووووي,مصر,2022,4,2
11,والله والله اللي بينا مايتقدر والله والله عمري ماهنسي ومش هقدر  عمرو_دياب فودافون httpstcoQQpcKrYomN,مصر,2022,4,2
12,أغنية اللي بينا حياة في إعلان عمرو دياب بتاع فودافون شجعني ارتبط أوي  عمرو_دياب  اللي_بينا_حياة فودافون,"Alexandria,Egypt",2022,4,2
13,إعلان عمرو_دياب و فودافون قادر يخطف قلبك بجد ,"Alexandria, Egypt",2022,4,2
14,فودافون ابداااع بالمحبة والعيلة والهضبة اكيد ,Lebanon,2022,4,2
15,نشاط ديابي في رمضان   فودافون البريد_المصري,"Cairo, Egypt",2022,4,2
16,اللي بينا غنوة حلوة بتفكرني بيك فيديو كل ما أشوفه بضحك من قلبي عليك  عمرو_دياب_السر فودافون,"Alexandria, Egypt",2022,4,2
17,اللي بينا حياه_وأكتر عمرو_دياب  كلمات و ألحان عزيز_الشافعي  توزيع وسام عبد المنعم مكساج و ماسترنج أمير محروس إعلان فودافون رمضان_٢٠٢٢  amrdiab  amrdiab azizelshafei httpstcoXKPSdafhQH,"Alexandria, Egypt",2022,4,2
