Tweet,Location,date,hours,minuites
 اتصالات شركه نصابه وبتضحك ع العملاء ومفيش اي استعناء بالعميل والشكاوي وكمان مبالغ المفروض تترد لينا الشركه شهر فبراير لحد اليوم ما رجعت ولا اي حد اهتم بأي شكوي قدمناها ,"Cairo, Egypt",2022-05-26,12,00:00:00
 ممكن التواصل معي الخاص أجل تقديم شكوى ف شركة اتصالات مصر ,"Cairo, Egypt",2022-05-23,20,00:00:00
 ممكن التواصل الخاص تكرمتم ,"Cairo, Egypt",2022-05-23,19,00:00:00
 عايز الايميل الرسمي بتاعكم انتوا الإمارات ينفع سيادتكم تقوله ولا لازم طريق الفرع ,"Cairo, Egypt",2022-05-23,19,00:00:00
 اتصالات مصر معندهاش ايميل لتلقي الشكاوي وبتقولك أقوى شبكة ف مصر ,"Cairo, Egypt",2022-05-23,19,00:00:00
 مفيش ايميل انت بتهزر ,"Cairo, Egypt",2022-05-23,19,00:00:00
 بعد اذنكم اريد الايميل الرسمي الخاص لتقديم الشكوى ف لان هناك صعوبات كتير وغياب احترافية وكفاءة لاتصالات مصر وتضطرنا كثيرا ,"Cairo, Egypt",2022-05-23,19,00:00:00
 للأسف شركة اتصالات المفروض يعني كله اونلاين يقولك لازم ورقة وتمضي وشغل طوابير بالساعات ليه معرفش ناس عجيبة اقسم بالله ,"Cairo, Egypt",2022-05-23,18,00:00:00
 أقوى شبكة ف مصر ف عدم خدمة عملائها ف مصر ,"Cairo, Egypt",2022-05-23,18,00:00:00
 وده مش ازعاج يافندم الازعاج الحقيقي اني أقف ف الشمس بال اربع خمس ساعات عشان إجراء مش هيكمل حاجة طريق الاتصال بيكم تليفونيا هنا اونلاين طريق ,"Cairo, Egypt",2022-05-23,18,00:00:00
 هل ده يرضيكم ولا ابعت ايميل رسمي بكدة ,"Cairo, Egypt",2022-05-23,18,00:00:00
 برجاء الرد ,"Cairo, Egypt",2022-05-23,18,00:00:00
 علفكرا انا زهقت منكو الشبكه ,"Cairo, Egypt",2022-05-22,19,00:00:00
 تويتر عرف منين اني اتصالات طلعلي التويتة دي التايم ,CAI,2022-05-28,11,00:00:00
 موقع واحد لا يمثل شخص الشمس موقع واحد خريطه مليانه مواقع اتصالات ف كلامي فوق طاقة القوس كعلامة فلكيه بدون اي اضافات ,"Cairo, Egypt",2022-05-28,11,00:00:00
 الثور هو بيت البنوك والعملات والتعاملات المالية فاكيد هنسمع صفقات كبيرة وربما نشوف زيادة قيمة بعض العملات مقابل انخفاض عملات تانية وانتعاش سوق الدهب وربما زيادات انخفضات مفاجئة سعر بعض السلع النفط والمعادن وعملات البيتكوين الشهر حسب اتصالات الزهرة ,"Giza, Egypt",2022-05-28,9,00:00:00
 عمرى ماقولت نفسى انى مهندس اتصالات دفعه ولا اى حاجه وبتعامل البشر عادى ,"القاهرة, مصر",2022-05-27,19,00:00:00
